,DR,TM,accuracy_local,accuracy_global,perception
18699,som,tfidf,0.91,0.63,0.19
18700,som,tfidf,0.9,0.62,0.18
18701,som,tfidf,0.87,0.63,0.18
18702,som,tfidf,0.89,0.58,0.19
18703,som,tfidf,0.9,0.62,0.19
18704,som,tfidf,0.9,0.61,0.19
18705,som,tfidf,0.91,0.6,0.19
18706,som,tfidf,0.89,0.59,0.19
18707,som,tfidf,0.92,0.63,0.19
18708,som,tfidf,0.82,0.58,0.15
18709,som,tfidf,0.91,0.62,0.2
18710,som,tfidf,0.92,0.63,0.21
18711,som,tfidf,0.85,0.6,0.17
18712,som,tfidf,0.92,0.64,0.21
18713,som,tfidf,0.89,0.6,0.18
18714,som,tfidf,0.85,0.59,0.18
18715,som,tfidf,0.91,0.63,0.2
18716,som,tfidf,0.85,0.56,0.19
18717,som,tfidf,0.9,0.64,0.18
18718,som,tfidf,0.91,0.62,0.19
18719,som,tfidf,0.92,0.65,0.2
18720,som,tfidf,0.89,0.63,0.18
18721,som,tfidf,0.92,0.67,0.21
18722,som,tfidf,0.89,0.61,0.18
18723,som,tfidf,0.83,0.55,0.19
18724,som,tfidf,0.91,0.62,0.22
18725,som,tfidf,0.88,0.61,0.18
18726,som,tfidf,0.87,0.62,0.18
18727,som,tfidf,0.92,0.64,0.2
18728,som,tfidf,0.87,0.58,0.18
18729,som,tfidf,0.86,0.57,0.17
18730,som,tfidf,0.85,0.59,0.16
18731,som,tfidf,0.91,0.63,0.2
18732,som,tfidf,0.85,0.64,0.18
18733,som,tfidf,0.92,0.62,0.21
18734,som,tfidf,0.91,0.62,0.19
22453,som,tfidf,0.96,0.62,0.63
22454,som,tfidf,0.92,0.61,0.58
22455,som,tfidf,0.96,0.63,0.63
22456,som,tfidf,0.95,0.61,0.56
22457,som,tfidf,0.95,0.59,0.58
22458,som,tfidf,0.96,0.64,0.59
22459,som,tfidf,0.89,0.62,0.41
22460,som,tfidf,0.96,0.62,0.62
22461,som,tfidf,0.96,0.6,0.55
22462,som,tfidf,0.91,0.6,0.47
22463,som,tfidf,0.96,0.63,0.61
22464,som,tfidf,0.9,0.6,0.51
22465,som,tfidf,0.9,0.6,0.43
22466,som,tfidf,0.96,0.61,0.65
22467,som,tfidf,0.93,0.61,0.57
22468,som,tfidf,0.95,0.61,0.55
22469,som,tfidf,0.9,0.58,0.42
22470,som,tfidf,0.96,0.59,0.57
22471,som,tfidf,0.89,0.62,0.44
22472,som,tfidf,0.96,0.63,0.61
22473,som,tfidf,0.89,0.58,0.44
22474,som,tfidf,0.96,0.64,0.61
22475,som,tfidf,0.96,0.61,0.59
22476,som,tfidf,0.96,0.6,0.59
22477,som,tfidf,0.96,0.6,0.61
22478,som,tfidf,0.91,0.57,0.52
22479,som,tfidf,0.85,0.55,0.4
22480,som,tfidf,0.96,0.63,0.58
22481,som,tfidf,0.96,0.61,0.59
22482,som,tfidf,0.96,0.62,0.6
22483,som,tfidf,0.95,0.61,0.58
22484,som,tfidf,0.95,0.61,0.58
22485,som,tfidf,0.94,0.61,0.55
22486,som,tfidf,0.89,0.59,0.46
22487,som,tfidf,0.91,0.59,0.45
22488,som,tfidf,0.95,0.63,0.62
