,embedding,DR,layout-quality-measure,embedding-quality-measure,value
138,lsi-tfidf,umap,accloc,c-uci,-0.38
139,lsi-tfidf,umap,accglo,c-uci,0.24
140,lsi-tfidf,umap,per,c-uci,-0.23
141,lsi-tfidf,umap,accloc,c-npmi,-0.22
142,lsi-tfidf,umap,accglo,c-npmi,0.34
143,lsi-tfidf,umap,per,c-npmi,-0.15
144,nmf,mds,accloc,c-v,0.41
145,nmf,mds,accglo,c-v,-0.0
146,nmf,mds,per,c-v,0.12
147,nmf,mds,accloc,u-mass,-0.08
148,nmf,mds,accglo,u-mass,0.26
149,nmf,mds,per,u-mass,0.01
150,nmf,mds,accloc,c-uci,0.5
151,nmf,mds,accglo,c-uci,0.38
152,nmf,mds,per,c-uci,-0.05
153,nmf,mds,accloc,c-npmi,0.47
154,nmf,mds,accglo,c-npmi,0.02
155,nmf,mds,per,c-npmi,0.17
156,nmf,som,accloc,c-v,0.01
157,nmf,som,accglo,c-v,0.0
158,nmf,som,per,c-v,-0.25
159,nmf,som,accloc,u-mass,0.16
160,nmf,som,accglo,u-mass,0.22
161,nmf,som,per,u-mass,0.13
162,nmf,som,accloc,c-uci,0.13
163,nmf,som,accglo,c-uci,0.2
164,nmf,som,per,c-uci,-0.39
165,nmf,som,accloc,c-npmi,0.03
166,nmf,som,accglo,c-npmi,0.08
167,nmf,som,per,c-npmi,-0.37
168,nmf,tsne,accloc,c-v,0.0
169,nmf,tsne,accglo,c-v,0.0
170,nmf,tsne,per,c-v,-0.2
171,nmf,tsne,accloc,u-mass,0.16
172,nmf,tsne,accglo,u-mass,0.15
173,nmf,tsne,per,u-mass,0.06
174,nmf,tsne,accloc,c-uci,0.2
175,nmf,tsne,accglo,c-uci,0.05
176,nmf,tsne,per,c-uci,-0.43
177,nmf,tsne,accloc,c-npmi,0.02
178,nmf,tsne,accglo,c-npmi,0.05
179,nmf,tsne,per,c-npmi,-0.35
180,nmf,umap,accloc,c-v,-0.05
181,nmf,umap,accglo,c-v,-0.06
182,nmf,umap,per,c-v,-0.27
183,nmf,umap,accloc,u-mass,0.13
184,nmf,umap,accglo,u-mass,0.15
185,nmf,umap,per,u-mass,0.12
186,nmf,umap,accloc,c-uci,0.04
187,nmf,umap,accglo,c-uci,0.03
188,nmf,umap,per,c-uci,-0.4
189,nmf,umap,accloc,c-npmi,-0.05
190,nmf,umap,accglo,c-npmi,-0.01
191,nmf,umap,per,c-npmi,-0.39
192,nmf-tfidf,mds,accloc,c-v,0.12
193,nmf-tfidf,mds,accglo,c-v,-0.01
194,nmf-tfidf,mds,per,c-v,0.01
195,nmf-tfidf,mds,accloc,u-mass,0.45
196,nmf-tfidf,mds,accglo,u-mass,0.25
197,nmf-tfidf,mds,per,u-mass,0.19
198,nmf-tfidf,mds,accloc,c-uci,0.51
199,nmf-tfidf,mds,accglo,c-uci,0.26
200,nmf-tfidf,mds,per,c-uci,0.05
201,nmf-tfidf,mds,accloc,c-npmi,0.51
202,nmf-tfidf,mds,accglo,c-npmi,0.14
203,nmf-tfidf,mds,per,c-npmi,-0.15
204,nmf-tfidf,som,accloc,c-v,0.2
205,nmf-tfidf,som,accglo,c-v,0.01
206,nmf-tfidf,som,per,c-v,-0.07
207,nmf-tfidf,som,accloc,u-mass,0.11
208,nmf-tfidf,som,accglo,u-mass,0.28
209,nmf-tfidf,som,per,u-mass,-0.3
210,nmf-tfidf,som,accloc,c-uci,0.13
211,nmf-tfidf,som,accglo,c-uci,0.26
212,nmf-tfidf,som,per,c-uci,-0.44
213,nmf-tfidf,som,accloc,c-npmi,0.18
214,nmf-tfidf,som,accglo,c-npmi,0.27
215,nmf-tfidf,som,per,c-npmi,-0.55
216,nmf-tfidf,tsne,accloc,c-v,0.38
217,nmf-tfidf,tsne,accglo,c-v,-0.05
218,nmf-tfidf,tsne,per,c-v,-0.12
219,nmf-tfidf,tsne,accloc,u-mass,0.23
220,nmf-tfidf,tsne,accglo,u-mass,0.2
221,nmf-tfidf,tsne,per,u-mass,-0.39
222,nmf-tfidf,tsne,accloc,c-uci,0.26
223,nmf-tfidf,tsne,accglo,c-uci,0.12
224,nmf-tfidf,tsne,per,c-uci,-0.55
225,nmf-tfidf,tsne,accloc,c-npmi,0.37
226,nmf-tfidf,tsne,accglo,c-npmi,0.11
227,nmf-tfidf,tsne,per,c-npmi,-0.67
228,nmf-tfidf,umap,accloc,c-v,0.13
229,nmf-tfidf,umap,accglo,c-v,-0.0
230,nmf-tfidf,umap,per,c-v,-0.09
231,nmf-tfidf,umap,accloc,u-mass,0.03
232,nmf-tfidf,umap,accglo,u-mass,0.18
233,nmf-tfidf,umap,per,u-mass,-0.32
234,nmf-tfidf,umap,accloc,c-uci,0.06
235,nmf-tfidf,umap,accglo,c-uci,0.15
236,nmf-tfidf,umap,per,c-uci,-0.46
237,nmf-tfidf,umap,accloc,c-npmi,0.13
238,nmf-tfidf,umap,accglo,c-npmi,0.18
239,nmf-tfidf,umap,per,c-npmi,-0.58
240,bert,mds,accloc,performance-sentence-embeddings,0.19
241,bert,mds,accglo,performance-sentence-embeddings,-0.47
242,bert,mds,per,performance-sentence-embeddings,0.03
243,bert,mds,accloc,performance-semantic-search,0.18
244,bert,mds,accglo,performance-semantic-search,-0.47
245,bert,mds,per,performance-semantic-search,0.01
246,bert,som,accloc,performance-sentence-embeddings,0.18
247,bert,som,accglo,performance-sentence-embeddings,0.27
248,bert,som,per,performance-sentence-embeddings,0.08
249,bert,som,accloc,performance-semantic-search,0.18
250,bert,som,accglo,performance-semantic-search,0.27
251,bert,som,per,performance-semantic-search,0.08
252,bert,tsne,accloc,performance-sentence-embeddings,0.26
253,bert,tsne,accglo,performance-sentence-embeddings,0.31
254,bert,tsne,per,performance-sentence-embeddings,0.09
255,bert,tsne,accloc,performance-semantic-search,0.27
256,bert,tsne,accglo,performance-semantic-search,0.33
257,bert,tsne,per,performance-semantic-search,0.09
258,bert,umap,accloc,performance-sentence-embeddings,0.22
259,bert,umap,accglo,performance-sentence-embeddings,0.3
260,bert,umap,per,performance-sentence-embeddings,0.13
261,bert,umap,accloc,performance-semantic-search,0.21
262,bert,umap,accglo,performance-semantic-search,0.31
263,bert,umap,per,performance-semantic-search,0.13
