,embedding,DR,layout-quality-measure,embedding-quality-measure,value
137,lsi-tfidf,umap,per,u-mass,-0.12
138,lsi-tfidf,umap,accloc,c-uci,-0.33
139,lsi-tfidf,umap,accglo,c-uci,0.24
140,lsi-tfidf,umap,per,c-uci,-0.28
141,lsi-tfidf,umap,accloc,c-npmi,-0.22
142,lsi-tfidf,umap,accglo,c-npmi,0.27
143,lsi-tfidf,umap,per,c-npmi,-0.25
144,nmf,mds,accloc,c-v,0.38
145,nmf,mds,accglo,c-v,-0.06
146,nmf,mds,per,c-v,0.08
147,nmf,mds,accloc,u-mass,-0.34
148,nmf,mds,accglo,u-mass,0.17
149,nmf,mds,per,u-mass,-0.05
150,nmf,mds,accloc,c-uci,0.44
151,nmf,mds,accglo,c-uci,0.23
152,nmf,mds,per,c-uci,-0.07
153,nmf,mds,accloc,c-npmi,0.45
154,nmf,mds,accglo,c-npmi,-0.05
155,nmf,mds,per,c-npmi,0.16
156,nmf,som,accloc,c-v,0.01
157,nmf,som,accglo,c-v,0.01
158,nmf,som,per,c-v,-0.23
159,nmf,som,accloc,u-mass,-0.01
160,nmf,som,accglo,u-mass,0.09
161,nmf,som,per,u-mass,0.09
162,nmf,som,accloc,c-uci,0.01
163,nmf,som,accglo,c-uci,0.12
164,nmf,som,per,c-uci,-0.5
165,nmf,som,accloc,c-npmi,-0.03
166,nmf,som,accglo,c-npmi,0.06
167,nmf,som,per,c-npmi,-0.37
168,nmf,tsne,accloc,c-v,0.04
169,nmf,tsne,accglo,c-v,-0.05
170,nmf,tsne,per,c-v,-0.21
171,nmf,tsne,accloc,u-mass,-0.1
172,nmf,tsne,accglo,u-mass,0.18
173,nmf,tsne,per,u-mass,0.08
174,nmf,tsne,accloc,c-uci,0.05
175,nmf,tsne,accglo,c-uci,0.08
176,nmf,tsne,per,c-uci,-0.48
177,nmf,tsne,accloc,c-npmi,-0.02
178,nmf,tsne,accglo,c-npmi,0.04
179,nmf,tsne,per,c-npmi,-0.34
180,nmf,umap,accloc,c-v,-0.03
181,nmf,umap,accglo,c-v,-0.09
182,nmf,umap,per,c-v,-0.26
183,nmf,umap,accloc,u-mass,-0.0
184,nmf,umap,accglo,u-mass,0.16
185,nmf,umap,per,u-mass,0.12
186,nmf,umap,accloc,c-uci,-0.05
187,nmf,umap,accglo,c-uci,0.05
188,nmf,umap,per,c-uci,-0.48
189,nmf,umap,accloc,c-npmi,-0.08
190,nmf,umap,accglo,c-npmi,-0.02
191,nmf,umap,per,c-npmi,-0.38
192,nmf-tfidf,mds,accloc,c-v,-0.02
193,nmf-tfidf,mds,accglo,c-v,-0.07
194,nmf-tfidf,mds,per,c-v,-0.03
195,nmf-tfidf,mds,accloc,u-mass,0.31
196,nmf-tfidf,mds,accglo,u-mass,0.1
