,corpus,embedding,DR,layout-quality-measure,value
106,20Newsgroups,nmf,umap,accglo,0.81
107,20Newsgroups,nmf,umap,perception,0.26
108,20Newsgroups,nmf-SC,mds,accloc,0
109,20Newsgroups,nmf-SC,mds,accglo,0
110,20Newsgroups,nmf-SC,mds,perception,0
111,20Newsgroups,nmf-SC,som,accloc,0.96
112,20Newsgroups,nmf-SC,som,accglo,0.79
113,20Newsgroups,nmf-SC,som,perception,0.33
114,20Newsgroups,nmf-SC,tsne,accloc,0.98
115,20Newsgroups,nmf-SC,tsne,accglo,0.84
116,20Newsgroups,nmf-SC,tsne,perception,0.26
117,20Newsgroups,nmf-SC,umap,accloc,0.96
118,20Newsgroups,nmf-SC,umap,accglo,0.86
119,20Newsgroups,nmf-SC,umap,perception,0.24
120,20Newsgroups,nmf-tfidf,mds,accloc,0
121,20Newsgroups,nmf-tfidf,mds,accglo,0
122,20Newsgroups,nmf-tfidf,mds,perception,0
123,20Newsgroups,nmf-tfidf,som,accloc,0.97
124,20Newsgroups,nmf-tfidf,som,accglo,0.67
125,20Newsgroups,nmf-tfidf,som,perception,0.42
126,20Newsgroups,nmf-tfidf,tsne,accloc,0.99
127,20Newsgroups,nmf-tfidf,tsne,accglo,0.7
128,20Newsgroups,nmf-tfidf,tsne,perception,0.51
129,20Newsgroups,nmf-tfidf,umap,accloc,0.97
130,20Newsgroups,nmf-tfidf,umap,accglo,0.78
131,20Newsgroups,nmf-tfidf,umap,perception,0.49
132,20Newsgroups,nmf-tfidf-SC,mds,accloc,0
133,20Newsgroups,nmf-tfidf-SC,mds,accglo,0
134,20Newsgroups,nmf-tfidf-SC,mds,perception,0
135,20Newsgroups,nmf-tfidf-SC,som,accloc,0.97
136,20Newsgroups,nmf-tfidf-SC,som,accglo,0.74
137,20Newsgroups,nmf-tfidf-SC,som,perception,0.43
138,20Newsgroups,nmf-tfidf-SC,tsne,accloc,0.99
139,20Newsgroups,nmf-tfidf-SC,tsne,accglo,0.79
140,20Newsgroups,nmf-tfidf-SC,tsne,perception,0.51
141,20Newsgroups,nmf-tfidf-SC,umap,accloc,0.98
142,20Newsgroups,nmf-tfidf-SC,umap,accglo,0.86
143,20Newsgroups,nmf-tfidf-SC,umap,perception,0.49
144,20Newsgroups,bert,mds,accloc,0
145,20Newsgroups,bert,mds,accglo,0
146,20Newsgroups,bert,mds,perception,0
147,20Newsgroups,bert,som,accloc,0.95
148,20Newsgroups,bert,som,accglo,0.72
149,20Newsgroups,bert,som,perception,0.54
150,20Newsgroups,bert,tsne,accloc,0.97
151,20Newsgroups,bert,tsne,accglo,0.75
152,20Newsgroups,bert,tsne,perception,0.7
153,20Newsgroups,bert,umap,accloc,0.96
154,20Newsgroups,bert,umap,accglo,0.78
155,20Newsgroups,bert,umap,perception,0.66
