,corpus,embedding,DR,layout-quality-measure,value
577,BBC,nmf-SC,mds,accglo,0.38
578,BBC,nmf-SC,mds,perception,0.26
579,BBC,nmf-SC,som,accloc,0.97
580,BBC,nmf-SC,som,accglo,0.81
581,BBC,nmf-SC,som,perception,0.68
582,BBC,nmf-SC,tsne,accloc,0.98
583,BBC,nmf-SC,tsne,accglo,0.85
584,BBC,nmf-SC,tsne,perception,0.69
585,BBC,nmf-SC,umap,accloc,0.98
586,BBC,nmf-SC,umap,accglo,0.87
587,BBC,nmf-SC,umap,perception,0.67
588,BBC,nmf-tfidf,mds,accloc,0.53
589,BBC,nmf-tfidf,mds,accglo,0.37
590,BBC,nmf-tfidf,mds,perception,0.25
591,BBC,nmf-tfidf,som,accloc,0.97
592,BBC,nmf-tfidf,som,accglo,0.76
593,BBC,nmf-tfidf,som,perception,0.69
594,BBC,nmf-tfidf,tsne,accloc,0.98
595,BBC,nmf-tfidf,tsne,accglo,0.78
596,BBC,nmf-tfidf,tsne,perception,0.75
597,BBC,nmf-tfidf,umap,accloc,0.98
598,BBC,nmf-tfidf,umap,accglo,0.82
599,BBC,nmf-tfidf,umap,perception,0.74
600,BBC,nmf-tfidf-SC,mds,accloc,0.53
601,BBC,nmf-tfidf-SC,mds,accglo,0.35
602,BBC,nmf-tfidf-SC,mds,perception,0.27
603,BBC,nmf-tfidf-SC,som,accloc,0.97
604,BBC,nmf-tfidf-SC,som,accglo,0.81
605,BBC,nmf-tfidf-SC,som,perception,0.72
606,BBC,nmf-tfidf-SC,tsne,accloc,0.98
607,BBC,nmf-tfidf-SC,tsne,accglo,0.84
608,BBC,nmf-tfidf-SC,tsne,perception,0.77
609,BBC,nmf-tfidf-SC,umap,accloc,0.98
610,BBC,nmf-tfidf-SC,umap,accglo,0.88
611,BBC,nmf-tfidf-SC,umap,perception,0.76
612,BBC,bert,mds,accloc,0.5
613,BBC,bert,mds,accglo,0.39
614,BBC,bert,mds,perception,0.27
615,BBC,bert,som,accloc,0.96
616,BBC,bert,som,accglo,0.73
617,BBC,bert,som,perception,0.93
618,BBC,bert,tsne,accloc,0.98
619,BBC,bert,tsne,accglo,0.8
620,BBC,bert,tsne,perception,0.96
621,BBC,bert,umap,accloc,0.97
622,BBC,bert,umap,accglo,0.81
623,BBC,bert,umap,perception,0.96
624,Lyrics,bow,mds,accloc,0.51
625,Lyrics,bow,mds,accglo,0.26
626,Lyrics,bow,mds,perception,0.33
627,Lyrics,bow,som,accloc,0.82
628,Lyrics,bow,som,accglo,0.56
629,Lyrics,bow,som,perception,0.44
630,Lyrics,bow,tsne,accloc,0.91
631,Lyrics,bow,tsne,accglo,0.65
632,Lyrics,bow,tsne,perception,0.49
633,Lyrics,bow,umap,accloc,0.77
634,Lyrics,bow,umap,accglo,0.59
635,Lyrics,bow,umap,perception,0.54
636,Lyrics,tfidf,mds,accloc,0.51
637,Lyrics,tfidf,mds,accglo,0.27
638,Lyrics,tfidf,mds,perception,0.32
639,Lyrics,tfidf,som,accloc,0.82
640,Lyrics,tfidf,som,accglo,0.55
641,Lyrics,tfidf,som,perception,0.42
642,Lyrics,tfidf,tsne,accloc,0.89
643,Lyrics,tfidf,tsne,accglo,0.6
644,Lyrics,tfidf,tsne,perception,0.5
645,Lyrics,tfidf,umap,accloc,0.85
646,Lyrics,tfidf,umap,accglo,0.57
647,Lyrics,tfidf,umap,perception,0.53
648,Lyrics,lda,mds,accloc,0.57
649,Lyrics,lda,mds,accglo,0.39
650,Lyrics,lda,mds,perception,0.32
651,Lyrics,lda,som,accloc,0.98
652,Lyrics,lda,som,accglo,0.85
653,Lyrics,lda,som,perception,0.46
654,Lyrics,lda,tsne,accloc,0.98
655,Lyrics,lda,tsne,accglo,0.77
656,Lyrics,lda,tsne,perception,0.5
657,Lyrics,lda,umap,accloc,0.99
658,Lyrics,lda,umap,accglo,0.8
659,Lyrics,lda,umap,perception,0.49
660,Lyrics,lda-SC,mds,accloc,0.55
661,Lyrics,lda-SC,mds,accglo,0.38
662,Lyrics,lda-SC,mds,perception,0.31
663,Lyrics,lda-SC,som,accloc,0.99
664,Lyrics,lda-SC,som,accglo,0.9
665,Lyrics,lda-SC,som,perception,0.47
666,Lyrics,lda-SC,tsne,accloc,0.99
667,Lyrics,lda-SC,tsne,accglo,0.77
668,Lyrics,lda-SC,tsne,perception,0.5
669,Lyrics,lda-SC,umap,accloc,0.99
670,Lyrics,lda-SC,umap,accglo,0.86
671,Lyrics,lda-SC,umap,perception,0.5
672,Lyrics,lsi,mds,accloc,0.55
673,Lyrics,lsi,mds,accglo,0.37
674,Lyrics,lsi,mds,perception,0.31
675,Lyrics,lsi,som,accloc,0.91
676,Lyrics,lsi,som,accglo,0.75
677,Lyrics,lsi,som,perception,0.52
678,Lyrics,lsi,tsne,accloc,0.99
679,Lyrics,lsi,tsne,accglo,0.83
680,Lyrics,lsi,tsne,perception,0.51
681,Lyrics,lsi,umap,accloc,0.9
682,Lyrics,lsi,umap,accglo,0.75
683,Lyrics,lsi,umap,perception,0.56
684,Lyrics,lsi-SC,mds,accloc,0.55
685,Lyrics,lsi-SC,mds,accglo,0.37
686,Lyrics,lsi-SC,mds,perception,0.31
687,Lyrics,lsi-SC,som,accloc,0.91
688,Lyrics,lsi-SC,som,accglo,0.75
689,Lyrics,lsi-SC,som,perception,0.51
690,Lyrics,lsi-SC,tsne,accloc,0.99
691,Lyrics,lsi-SC,tsne,accglo,0.83
692,Lyrics,lsi-SC,tsne,perception,0.51
693,Lyrics,lsi-SC,umap,accloc,0.9
694,Lyrics,lsi-SC,umap,accglo,0.75
695,Lyrics,lsi-SC,umap,perception,0.56
696,Lyrics,lsi-tfidf,mds,accloc,0.55
697,Lyrics,lsi-tfidf,mds,accglo,0.37
698,Lyrics,lsi-tfidf,mds,perception,0.3
699,Lyrics,lsi-tfidf,som,accloc,0.9
700,Lyrics,lsi-tfidf,som,accglo,0.75
701,Lyrics,lsi-tfidf,som,perception,0.54
702,Lyrics,lsi-tfidf,tsne,accloc,0.99
703,Lyrics,lsi-tfidf,tsne,accglo,0.86
704,Lyrics,lsi-tfidf,tsne,perception,0.59
705,Lyrics,lsi-tfidf,umap,accloc,0.89
706,Lyrics,lsi-tfidf,umap,accglo,0.81
707,Lyrics,lsi-tfidf,umap,perception,0.58
708,Lyrics,lsi-tfidf-SC,mds,accloc,0.55
709,Lyrics,lsi-tfidf-SC,mds,accglo,0.37
710,Lyrics,lsi-tfidf-SC,mds,perception,0.3
711,Lyrics,lsi-tfidf-SC,som,accloc,0.91
712,Lyrics,lsi-tfidf-SC,som,accglo,0.76
713,Lyrics,lsi-tfidf-SC,som,perception,0.54
714,Lyrics,lsi-tfidf-SC,tsne,accloc,0.99
715,Lyrics,lsi-tfidf-SC,tsne,accglo,0.86
716,Lyrics,lsi-tfidf-SC,tsne,perception,0.59
717,Lyrics,lsi-tfidf-SC,umap,accloc,0.9
718,Lyrics,lsi-tfidf-SC,umap,accglo,0.81
719,Lyrics,lsi-tfidf-SC,umap,perception,0.58
720,Lyrics,nmf,mds,accloc,0.55
721,Lyrics,nmf,mds,accglo,0.37
722,Lyrics,nmf,mds,perception,0.31
723,Lyrics,nmf,som,accloc,0.97
724,Lyrics,nmf,som,accglo,0.8
725,Lyrics,nmf,som,perception,0.42
726,Lyrics,nmf,tsne,accloc,0.99
727,Lyrics,nmf,tsne,accglo,0.83
728,Lyrics,nmf,tsne,perception,0.47
729,Lyrics,nmf,umap,accloc,0.98
730,Lyrics,nmf,umap,accglo,0.85
731,Lyrics,nmf,umap,perception,0.46
732,Lyrics,nmf-SC,mds,accloc,0.54
733,Lyrics,nmf-SC,mds,accglo,0.38
734,Lyrics,nmf-SC,mds,perception,0.3
735,Lyrics,nmf-SC,som,accloc,0.98
736,Lyrics,nmf-SC,som,accglo,0.87
737,Lyrics,nmf-SC,som,perception,0.5
738,Lyrics,nmf-SC,tsne,accloc,0.99
739,Lyrics,nmf-SC,tsne,accglo,0.88
740,Lyrics,nmf-SC,tsne,perception,0.47
741,Lyrics,nmf-SC,umap,accloc,0.98
742,Lyrics,nmf-SC,umap,accglo,0.9
743,Lyrics,nmf-SC,umap,perception,0.46
744,Lyrics,nmf-tfidf,mds,accloc,0.57
745,Lyrics,nmf-tfidf,mds,accglo,0.36
746,Lyrics,nmf-tfidf,mds,perception,0.31
747,Lyrics,nmf-tfidf,som,accloc,0.97
748,Lyrics,nmf-tfidf,som,accglo,0.8
749,Lyrics,nmf-tfidf,som,perception,0.49
750,Lyrics,nmf-tfidf,tsne,accloc,0.99
751,Lyrics,nmf-tfidf,tsne,accglo,0.82
752,Lyrics,nmf-tfidf,tsne,perception,0.53
753,Lyrics,nmf-tfidf,umap,accloc,0.98
754,Lyrics,nmf-tfidf,umap,accglo,0.83
755,Lyrics,nmf-tfidf,umap,perception,0.53
756,Lyrics,nmf-tfidf-SC,mds,accloc,0.55
757,Lyrics,nmf-tfidf-SC,mds,accglo,0.37
758,Lyrics,nmf-tfidf-SC,mds,perception,0.31
759,Lyrics,nmf-tfidf-SC,som,accloc,0.98
760,Lyrics,nmf-tfidf-SC,som,accglo,0.86
761,Lyrics,nmf-tfidf-SC,som,perception,0.52
762,Lyrics,nmf-tfidf-SC,tsne,accloc,0.99
763,Lyrics,nmf-tfidf-SC,tsne,accglo,0.89
764,Lyrics,nmf-tfidf-SC,tsne,perception,0.55
765,Lyrics,nmf-tfidf-SC,umap,accloc,0.99
766,Lyrics,nmf-tfidf-SC,umap,accglo,0.89
767,Lyrics,nmf-tfidf-SC,umap,perception,0.54
768,Lyrics,bert,mds,accloc,0.49
769,Lyrics,bert,mds,accglo,0.34
770,Lyrics,bert,mds,perception,0.34
771,Lyrics,bert,som,accloc,0.87
772,Lyrics,bert,som,accglo,0.69
773,Lyrics,bert,som,perception,0.58
774,Lyrics,bert,tsne,accloc,0.91
775,Lyrics,bert,tsne,accglo,0.76
776,Lyrics,bert,tsne,perception,0.61
777,Lyrics,bert,umap,accloc,0.86
778,Lyrics,bert,umap,accglo,0.74
779,Lyrics,bert,umap,perception,0.6
780,Reuters,bow,mds,accloc,0.5
781,Reuters,bow,mds,accglo,0.39
782,Reuters,bow,mds,perception,0.24
783,Reuters,bow,som,accloc,0.92
784,Reuters,bow,som,accglo,0.71
785,Reuters,bow,som,perception,0.23
786,Reuters,bow,tsne,accloc,0.97
787,Reuters,bow,tsne,accglo,0.79
788,Reuters,bow,tsne,perception,0.28
789,Reuters,bow,umap,accloc,0.93
790,Reuters,bow,umap,accglo,0.72
791,Reuters,bow,umap,perception,0.26
792,Reuters,tfidf,mds,accloc,0.52
793,Reuters,tfidf,mds,accglo,0.42
794,Reuters,tfidf,mds,perception,0.26
795,Reuters,tfidf,som,accloc,0.92
796,Reuters,tfidf,som,accglo,0.67
797,Reuters,tfidf,som,perception,0.22
798,Reuters,tfidf,tsne,accloc,0.94
799,Reuters,tfidf,tsne,accglo,0.68
800,Reuters,tfidf,tsne,perception,0.31
801,Reuters,tfidf,umap,accloc,0.93
802,Reuters,tfidf,umap,accglo,0.71
803,Reuters,tfidf,umap,perception,0.29
804,Reuters,lda,mds,accloc,0.54
805,Reuters,lda,mds,accglo,0.42
806,Reuters,lda,mds,perception,0.23
807,Reuters,lda,som,accloc,0.99
808,Reuters,lda,som,accglo,0.81
809,Reuters,lda,som,perception,0.22
810,Reuters,lda,tsne,accloc,0.99
811,Reuters,lda,tsne,accglo,0.78
812,Reuters,lda,tsne,perception,0.27
813,Reuters,lda,umap,accloc,0.98
814,Reuters,lda,umap,accglo,0.75
815,Reuters,lda,umap,perception,0.29
816,Reuters,lda-SC,mds,accloc,0.53
817,Reuters,lda-SC,mds,accglo,0.43
818,Reuters,lda-SC,mds,perception,0.23
819,Reuters,lda-SC,som,accloc,0.98
820,Reuters,lda-SC,som,accglo,0.92
821,Reuters,lda-SC,som,perception,0.26
822,Reuters,lda-SC,tsne,accloc,0.99
823,Reuters,lda-SC,tsne,accglo,0.85
824,Reuters,lda-SC,tsne,perception,0.29
825,Reuters,lda-SC,umap,accloc,0.98
826,Reuters,lda-SC,umap,accglo,0.88
827,Reuters,lda-SC,umap,perception,0.27
828,Reuters,lsi,mds,accloc,0.56
829,Reuters,lsi,mds,accglo,0.41
830,Reuters,lsi,mds,perception,0.25
831,Reuters,lsi,som,accloc,0.95
832,Reuters,lsi,som,accglo,0.78
833,Reuters,lsi,som,perception,0.22
834,Reuters,lsi,tsne,accloc,0.99
835,Reuters,lsi,tsne,accglo,0.88
836,Reuters,lsi,tsne,perception,0.28
837,Reuters,lsi,umap,accloc,0.96
838,Reuters,lsi,umap,accglo,0.82
839,Reuters,lsi,umap,perception,0.29
840,Reuters,lsi-SC,mds,accloc,0.56
841,Reuters,lsi-SC,mds,accglo,0.41
842,Reuters,lsi-SC,mds,perception,0.25
843,Reuters,lsi-SC,som,accloc,0.94
844,Reuters,lsi-SC,som,accglo,0.77
845,Reuters,lsi-SC,som,perception,0.24
846,Reuters,lsi-SC,tsne,accloc,0.99
847,Reuters,lsi-SC,tsne,accglo,0.88
848,Reuters,lsi-SC,tsne,perception,0.27
849,Reuters,lsi-SC,umap,accloc,0.96
850,Reuters,lsi-SC,umap,accglo,0.82
851,Reuters,lsi-SC,umap,perception,0.29
852,Reuters,lsi-tfidf,mds,accloc,0.56
853,Reuters,lsi-tfidf,mds,accglo,0.39
854,Reuters,lsi-tfidf,mds,perception,0.26
855,Reuters,lsi-tfidf,som,accloc,0.96
856,Reuters,lsi-tfidf,som,accglo,0.83
857,Reuters,lsi-tfidf,som,perception,0.23
858,Reuters,lsi-tfidf,tsne,accloc,0.99
859,Reuters,lsi-tfidf,tsne,accglo,0.87
860,Reuters,lsi-tfidf,tsne,perception,0.28
861,Reuters,lsi-tfidf,umap,accloc,0.96
862,Reuters,lsi-tfidf,umap,accglo,0.86
863,Reuters,lsi-tfidf,umap,perception,0.29
864,Reuters,lsi-tfidf-SC,mds,accloc,0.56
865,Reuters,lsi-tfidf-SC,mds,accglo,0.39
866,Reuters,lsi-tfidf-SC,mds,perception,0.25
867,Reuters,lsi-tfidf-SC,som,accloc,0.97
868,Reuters,lsi-tfidf-SC,som,accglo,0.82
869,Reuters,lsi-tfidf-SC,som,perception,0.21
870,Reuters,lsi-tfidf-SC,tsne,accloc,0.99
871,Reuters,lsi-tfidf-SC,tsne,accglo,0.87
872,Reuters,lsi-tfidf-SC,tsne,perception,0.29
873,Reuters,lsi-tfidf-SC,umap,accloc,0.96
874,Reuters,lsi-tfidf-SC,umap,accglo,0.86
875,Reuters,lsi-tfidf-SC,umap,perception,0.26
876,Reuters,nmf,mds,accloc,0.56
877,Reuters,nmf,mds,accglo,0.39
878,Reuters,nmf,mds,perception,0.24
879,Reuters,nmf,som,accloc,0.98
880,Reuters,nmf,som,accglo,0.84
881,Reuters,nmf,som,perception,0.25
882,Reuters,nmf,tsne,accloc,0.99
883,Reuters,nmf,tsne,accglo,0.84
884,Reuters,nmf,tsne,perception,0.26
885,Reuters,nmf,umap,accloc,0.99
886,Reuters,nmf,umap,accglo,0.83
887,Reuters,nmf,umap,perception,0.29
888,Reuters,nmf-SC,mds,accloc,0.56
889,Reuters,nmf-SC,mds,accglo,0.41
890,Reuters,nmf-SC,mds,perception,0.23
891,Reuters,nmf-SC,som,accloc,0.98
892,Reuters,nmf-SC,som,accglo,0.9
893,Reuters,nmf-SC,som,perception,0.25
894,Reuters,nmf-SC,tsne,accloc,0.99
895,Reuters,nmf-SC,tsne,accglo,0.91
896,Reuters,nmf-SC,tsne,perception,0.28
897,Reuters,nmf-SC,umap,accloc,0.99
898,Reuters,nmf-SC,umap,accglo,0.9
899,Reuters,nmf-SC,umap,perception,0.27
900,Reuters,nmf-tfidf,mds,accloc,0.58
901,Reuters,nmf-tfidf,mds,accglo,0.36
902,Reuters,nmf-tfidf,mds,perception,0.23
903,Reuters,nmf-tfidf,som,accloc,0.98
904,Reuters,nmf-tfidf,som,accglo,0.8
905,Reuters,nmf-tfidf,som,perception,0.21
906,Reuters,nmf-tfidf,tsne,accloc,0.99
907,Reuters,nmf-tfidf,tsne,accglo,0.85
908,Reuters,nmf-tfidf,tsne,perception,0.28
909,Reuters,nmf-tfidf,umap,accloc,0.99
910,Reuters,nmf-tfidf,umap,accglo,0.87
911,Reuters,nmf-tfidf,umap,perception,0.25
912,Reuters,nmf-tfidf-SC,mds,accloc,0.55
913,Reuters,nmf-tfidf-SC,mds,accglo,0.36
914,Reuters,nmf-tfidf-SC,mds,perception,0.23
915,Reuters,nmf-tfidf-SC,som,accloc,0.97
916,Reuters,nmf-tfidf-SC,som,accglo,0.88
917,Reuters,nmf-tfidf-SC,som,perception,0.24
918,Reuters,nmf-tfidf-SC,tsne,accloc,0.99
919,Reuters,nmf-tfidf-SC,tsne,accglo,0.87
920,Reuters,nmf-tfidf-SC,tsne,perception,0.31
921,Reuters,nmf-tfidf-SC,umap,accloc,0.99
922,Reuters,nmf-tfidf-SC,umap,accglo,0.92
923,Reuters,nmf-tfidf-SC,umap,perception,0.31
924,Reuters,bert,mds,accloc,0.52
925,Reuters,bert,mds,accglo,0.38
926,Reuters,bert,mds,perception,0.26
927,Reuters,bert,som,accloc,0.96
928,Reuters,bert,som,accglo,0.75
929,Reuters,bert,som,perception,0.3
930,Reuters,bert,tsne,accloc,0.97
931,Reuters,bert,tsne,accglo,0.79
932,Reuters,bert,tsne,perception,0.3
933,Reuters,bert,umap,accloc,0.97
934,Reuters,bert,umap,accglo,0.8
935,Reuters,bert,umap,perception,0.27
