,embedding,DR,layout_quality_measure,embedding_quality_measure,value
131,lsi_tfidf,tsne,per,c_npmi,-0.34
132,lsi_tfidf,umap,acc_loc,c_v,0.18
133,lsi_tfidf,umap,acc_glo,c_v,0.18
134,lsi_tfidf,umap,per,c_v,0.25
135,lsi_tfidf,umap,acc_loc,u_mass,-0.43
136,lsi_tfidf,umap,acc_glo,u_mass,0.25
137,lsi_tfidf,umap,per,u_mass,-0.08
138,lsi_tfidf,umap,acc_loc,c_uci,-0.38
139,lsi_tfidf,umap,acc_glo,c_uci,0.24
140,lsi_tfidf,umap,per,c_uci,-0.23
141,lsi_tfidf,umap,acc_loc,c_npmi,-0.22
142,lsi_tfidf,umap,acc_glo,c_npmi,0.34
143,lsi_tfidf,umap,per,c_npmi,-0.15
144,nmf,mds,acc_loc,c_v,0.41
145,nmf,mds,acc_glo,c_v,-0.0
146,nmf,mds,per,c_v,0.12
147,nmf,mds,acc_loc,u_mass,-0.08
148,nmf,mds,acc_glo,u_mass,0.26
149,nmf,mds,per,u_mass,0.01
150,nmf,mds,acc_loc,c_uci,0.5
151,nmf,mds,acc_glo,c_uci,0.38
152,nmf,mds,per,c_uci,-0.05
153,nmf,mds,acc_loc,c_npmi,0.47
154,nmf,mds,acc_glo,c_npmi,0.02
155,nmf,mds,per,c_npmi,0.17
156,nmf,som,acc_loc,c_v,0.01
157,nmf,som,acc_glo,c_v,0.0
158,nmf,som,per,c_v,-0.25
159,nmf,som,acc_loc,u_mass,0.16
160,nmf,som,acc_glo,u_mass,0.22
161,nmf,som,per,u_mass,0.13
162,nmf,som,acc_loc,c_uci,0.13
163,nmf,som,acc_glo,c_uci,0.2
164,nmf,som,per,c_uci,-0.39
165,nmf,som,acc_loc,c_npmi,0.03
166,nmf,som,acc_glo,c_npmi,0.08
167,nmf,som,per,c_npmi,-0.37
168,nmf,tsne,acc_loc,c_v,0.0
169,nmf,tsne,acc_glo,c_v,0.0
170,nmf,tsne,per,c_v,-0.2
171,nmf,tsne,acc_loc,u_mass,0.16
172,nmf,tsne,acc_glo,u_mass,0.15
