,embedding,DR,layout_quality_measure,embedding_quality_measure,value
101,nmf,mds,per,c_uci,-0.04720946080051999
102,nmf,mds,acc,c_npmi,0.2302326508653539
103,nmf,mds,per,c_npmi,0.16813408225592696
104,nmf,som,acc,c_v,0.0057813145812037475
105,nmf,som,per,c_v,-0.2497126938299781
106,nmf,som,acc,u_mass,0.19964833125299342
107,nmf,som,per,u_mass,0.12728498028850593
108,nmf,som,acc,c_uci,0.1803612197235411
109,nmf,som,per,c_uci,-0.3917348921125804
110,nmf,som,acc,c_npmi,0.06548185413241632
111,nmf,som,per,c_npmi,-0.3672318345833806
112,nmf,tsne,acc,c_v,0.006845381533588652
113,nmf,tsne,per,c_v,-0.20404006084543716
114,nmf,tsne,acc,u_mass,0.15220541178451322
115,nmf,tsne,per,u_mass,0.05957091471306313
116,nmf,tsne,acc,c_uci,0.06910777370750329
117,nmf,tsne,per,c_uci,-0.4276591869684654
118,nmf,tsne,acc,c_npmi,0.05272046958936391
119,nmf,tsne,per,c_npmi,-0.35378974726488105
120,nmf,umap,acc,c_v,-0.08227989380455354
121,nmf,umap,per,c_v,-0.2724042414361695
122,nmf,umap,acc,u_mass,0.16402557517418861
123,nmf,umap,per,u_mass,0.11784822830172544
124,nmf,umap,acc,c_uci,0.03230105155788232
125,nmf,umap,per,c_uci,-0.40183439772480756
126,nmf,umap,acc,c_npmi,-0.03726580580402374
127,nmf,umap,per,c_npmi,-0.38943126875564105
128,nmf_tfidf,mds,acc,c_v,0.03525785164248591
129,nmf_tfidf,mds,per,c_v,0.009026530200412239
130,nmf_tfidf,mds,acc,u_mass,0.42714020268519814
131,nmf_tfidf,mds,per,u_mass,0.1863075833365086
132,nmf_tfidf,mds,acc,c_uci,0.456682300600578
133,nmf_tfidf,mds,per,c_uci,0.054279534938478924
134,nmf_tfidf,mds,acc,c_npmi,0.373193763013635
135,nmf_tfidf,mds,per,c_npmi,-0.1473129728707277
136,nmf_tfidf,som,acc,c_v,0.04308628525927685
137,nmf_tfidf,som,per,c_v,-0.06659606411795949
138,nmf_tfidf,som,acc,u_mass,0.2609177886804474
139,nmf_tfidf,som,per,u_mass,-0.2991308465799813
140,nmf_tfidf,som,acc,c_uci,0.2486080637792861
141,nmf_tfidf,som,per,c_uci,-0.43809952264237695
142,nmf_tfidf,som,acc,c_npmi,0.2626407365152509
143,nmf_tfidf,som,per,c_npmi,-0.5458771390375055
144,nmf_tfidf,tsne,acc,c_v,-0.016904489713927374
145,nmf_tfidf,tsne,per,c_v,-0.11867725474380388
146,nmf_tfidf,tsne,acc,u_mass,0.20611479618274264
147,nmf_tfidf,tsne,per,u_mass,-0.3913940420561706
148,nmf_tfidf,tsne,acc,c_uci,0.1400929080723412
149,nmf_tfidf,tsne,per,c_uci,-0.5462176867656356
150,nmf_tfidf,tsne,acc,c_npmi,0.1459805827844791
151,nmf_tfidf,tsne,per,c_npmi,-0.6667789335983542
152,nmf_tfidf,umap,acc,c_v,0.05224600333139752
153,nmf_tfidf,umap,per,c_v,-0.08716176603160118
154,nmf_tfidf,umap,acc,u_mass,0.1553310078895458
155,nmf_tfidf,umap,per,u_mass,-0.31701814004195467
156,nmf_tfidf,umap,acc,c_uci,0.14224082715768083
157,nmf_tfidf,umap,per,c_uci,-0.46341025485870313
158,nmf_tfidf,umap,acc,c_npmi,0.19109855347831983
159,nmf_tfidf,umap,per,c_npmi,-0.584192165055073
160,bert,mds,acc,performance_sentence_embeddings,-0.3163491010385922
161,bert,mds,per,performance_sentence_embeddings,0.034934027279108666
