model_type,n_topics,alpha_lda,coherence_u_mass,coherence_c_v,coherence_c_uci,coherence_c_npmi,perplexity
lda,5,auto,-1.7043183727295677,0.4483136395745303,0.0748613269156426,0.0316266423140128,110.20921715768743
lda,10,auto,-2.371294965786567,0.3958378708734613,-0.3647436658667849,0.0213643974639546,116.9431721593604
lda,15,auto,-2.7493196897558283,0.3726635098112465,-0.7367273019186793,0.0050607519036838,131.40787663727858
lda,20,auto,-2.228952040807005,0.4034740502191497,-0.3057360587505257,0.0230853777347632,139.85251887683796
lda,25,auto,-2.574038448790355,0.4040024587773563,-0.5520117270139165,0.0116310408963928,148.28562340814392
lsi,5,,-1.9677583990766887,0.3942762837939231,-0.0983857005592546,0.0096592289662798,-1.0
lsi,10,,-2.1400800163571083,0.3901089987083117,-0.418897727794106,-0.0060974389299448,-1.0
lsi,15,,-2.33869955224254,0.3669290694942334,-0.508889849574557,-0.0056496900474134,-1.0
lsi,20,,-2.483282281949581,0.3252613416175378,-0.7514099364397899,-0.0235006172956409,-1.0
lsi,25,,-2.643441823191065,0.3080354149589996,-0.9106796549898176,-0.0312606178408478,-1.0
lsi_tfidf,5,,-2.153392352498541,0.3819103424968231,0.0100765908354353,0.0565304053486303,-1.0
lsi_tfidf,10,,-2.5257466739542305,0.3892482725163218,-0.5912784134289774,0.0203079538568868,-1.0
lsi_tfidf,15,,-3.591819430232678,0.4026037021442356,-0.7945428633077227,0.0191094259083594,-1.0
lsi_tfidf,20,,-3.549747107686481,0.3579761776416892,-1.0179260635204566,0.000228206893301,-1.0
lsi_tfidf,25,,-3.917567003258039,0.3270899485207368,-1.742238738589338,-0.0394679148841405,-1.0
nmf,5,,-1.670509492873992,0.4421993075708951,0.172648187875122,0.0357092622768022,-1.0
nmf,10,,-1.8624196004502345,0.4268190310170535,0.0687080907370453,0.0340464300835404,-1.0
nmf,15,,-1.9113295368354848,0.4472655983387123,0.0418331914543491,0.032432287414426,-1.0
nmf,20,,-2.154240169257471,0.4265250144548007,-0.0756100999381103,0.0316327923174246,-1.0
nmf,25,,-2.1267369594898065,0.4295186296121489,-0.1082429355805065,0.0284111203717783,-1.0
nmf_tfidf,5,,-1.9494862899566985,0.4231206819519282,0.2010830534737024,0.0659509915638441,-1.0
nmf_tfidf,10,,-2.4024055977755827,0.3977890837742733,-0.106129827107119,0.0545109027615223,-1.0
nmf_tfidf,15,,-2.3732165922048982,0.386366113434842,-0.3076925111483305,0.0372786769784714,-1.0
nmf_tfidf,20,,-2.754998832472072,0.4073959289424377,-0.595432461968666,0.0355806667789396,-1.0
nmf_tfidf,25,,-2.859278852156328,0.39331129206646226,-0.6904790632883112,0.024727748300085874,-1.0
